,branch,synset,glossary,full_expert_agrmt,expert_label
68,musical_instrument.n.01,acoustic_guitar.n.01,sound is not amplified by electrical means,True,0
31,edible_fruit.n.01,apple.n.01,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,True,1
96,furniture.n.01,armchair.n.01,chair with a support on each side for arms,True,0
90,furniture.n.01,armoire.n.01,a large wardrobe or cabinet; originally used for storing weapons,True,0
5,hand_tool.n.01,awl.n.01,a pointed tool for marking surfaces or for punching small holes,True,1
105,furniture.n.01,baby_bed.n.01,a small bed for babies; enclosed by sides to prevent the baby from falling,False,1
71,musical_instrument.n.01,bagpipe.n.01,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone,True,1
78,musical_instrument.n.01,bass_clarinet.n.01,a large clarinet whose range is an octave below the B-flat clarinet,True,0
53,musical_instrument.n.01,bass_horn.n.01,the lowest brass wind instrument,True,1
73,musical_instrument.n.01,bassoon.n.01,a double-reed instrument; the tenor of the oboe family,False,1
126,clothing.n.01,bathrobe.n.01,a loose-fitting robe of towelling; worn after a bath or swim,True,0
91,furniture.n.01,bed.n.01,a piece of furniture that provides a place to sleep,True,1
93,furniture.n.01,bench.n.01,a long seat for more than one person,True,1
130,clothing.n.01,bikini.n.02,a woman's very brief bathing suit,True,0
40,edible_fruit.n.01,bitter_orange.n.02,highly acidic orange used especially in marmalade,True,0
120,clothing.n.01,blazer.n.01,lightweight single-breasted jacket; often striped in the colors of a club or school,True,0
62,musical_instrument.n.01,bongo.n.01,a small drum; played with the hands,True,0
50,edible_fruit.n.01,bosc.n.01,greenish-yellow pear,True,0
128,clothing.n.01,bow_tie.n.01,a man's tie that ties in a bow,False,0
6,hand_tool.n.01,bradawl.n.01,an awl for making small holes for brads or small screws,True,0
123,clothing.n.01,brassiere.n.01,an undergarment worn by women to support their breasts,True,1
28,hand_tool.n.01,brick_trowel.n.01,a trowel used in masonry,True,0
92,furniture.n.01,bunk_bed.n.01,beds built one above the other,True,0
118,clothing.n.01,business_suit.n.01,a suit of clothes traditionally worn by businessmen,True,0
81,furniture.n.01,cabinet.n.01,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,True,1
100,furniture.n.01,campstool.n.01,a folding stool,True,0
11,hand_tool.n.01,can_opener.n.01,a device for cutting cans open,True,1
134,clothing.n.01,cape.n.02,a sleeveless garment like a cloak but shorter,False,0
10,hand_tool.n.01,carpenter's_hammer.n.01,a hammer with a cleft at one end for pulling nails,True,0
26,hand_tool.n.01,carpenter's_square.n.01,a steel square used by carpenters; larger than a try square,True,0
104,furniture.n.01,cathedra.n.01,a throne that is the official chair of a bishop,False,0
95,furniture.n.01,chair.n.01,"a seat for one person, with a support for the back",True,1
42,edible_fruit.n.01,cherimoya.n.02,large tropical fruit with leathery skin and soft pulp; related to custard apples,False,0
33,edible_fruit.n.01,cherry.n.03,a red fruit with a single hard stone,True,1
83,furniture.n.01,chest_of_drawers.n.01,furniture with drawers for keeping clothes,True,1
12,hand_tool.n.01,church_key.n.01,can opener that has a triangular pointed end that pierces the tops of cans,True,0
77,musical_instrument.n.01,clarinet.n.01,a single-reed instrument with a straight tube,True,1
38,edible_fruit.n.01,clementine.n.02,a mandarin orange of a deep reddish orange color and few seeds,True,0
133,clothing.n.01,cloak.n.02,a loose outer garment,False,1
4,clothing.n.01,clothing.n.01,a covering designed to be worn on a person's body,True,0
121,clothing.n.01,coat.n.01,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,True,1
88,furniture.n.01,coffee_table.n.01,low table where magazines can be placed and coffee or cocktails are served,True,0
74,musical_instrument.n.01,contrabassoon.n.01,the bassoon that is the largest instrument in the oboe family,False,0
106,furniture.n.01,cradle.n.01,a baby bed with sides and rockers,False,0
30,hand_tool.n.01,crescent_wrench.n.01,an adjustable wrench designed to fit hexagonal nuts with the adjusting screw built into the head of the wrench,True,0
41,edible_fruit.n.01,custard_apple.n.02,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp,False,1
59,musical_instrument.n.01,cymbal.n.01,a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together,False,1
